"Periodo","Valor"
1,1.12662662654639e-06
2,1.64531983642968e-05
3,7.73101832962642e-06
4,5.59388884646683e-06
5,1.25949126048575e-05
6,1.75226838832199e-05
7,9.86186836293701e-06
8,1.95912714685553e-05
9,1.84149211990281e-07
10,1.63441412085463e-05
11,1.13620797004277e-06
12,6.64415170534838e-05
13,4.70787344208912e-06
14,1.10859015127751e-05
15,6.52001486878273e-06
16,1.93764934974805e-06
17,1.09296312753582e-05
18,8.82103186228278e-06
19,0.000301429906146788
20,4.76034806484726e-06
21,5.57974986881149e-06
22,1.64478364950149e-05
23,2.16187029216108e-05
24,2.68622884358471e-06
25,5.06337760053377e-05
26,6.45583113956238e-06
27,6.87149259337438e-06
28,7.62225461570232e-06
29,3.960016959903e-07
30,6.33014491602246e-06
31,4.54274538335131e-05
32,4.34786876213344e-06
33,1.38979054556954e-05
34,2.548908026756e-05
35,6.6154706840349e-06
36,3.44052679894791e-05
37,1.27241327363414e-07
38,0.00189480083825366
39,4.22914261225538e-05
40,2.57219744337345e-06
41,1.24967778691865e-06
42,1.33229540415503e-05
43,1.4905436974022e-05
44,4.34551976191688e-06
45,8.5000353834408e-06
46,7.0816266677598e-05
47,2.06707009038354e-05
48,8.48133571937915e-05
49,2.47131935726674e-05
50,3.10783408450366e-05
51,5.07727629545096e-05
52,2.30396598644989e-05
53,1.43870309260441e-05
54,4.23770351309916e-06
55,2.5388237215096e-05
56,6.19560887937798e-06
57,9.00163103090268e-06
58,1.01460647291551e-05
59,9.06461356597887e-06
60,2.13575608076777e-06
61,1.71001289490658e-05
62,3.06477349204526e-05
63,4.50860843254075e-05
64,4.25946358638685e-05
65,6.54506041298797e-05
66,1.34053430009828e-05
67,3.93730499703704e-06
68,1.50127388710564e-05
69,4.75664780541507e-06
70,4.1051675818693e-06
71,7.05466939743271e-06
72,2.58329218627562e-05
73,1.63164824906747e-05
74,2.22065638988411e-07
75,1.64192118228268e-05
76,3.50242786287813e-05
77,6.73913797100134e-06
78,6.15613826138173e-06
79,2.52990415894327e-06
80,7.86383202167062e-06
81,5.99116334309979e-06
82,1.10614280031118e-05
83,3.1073521169489e-06
84,4.59928913344454e-05
85,5.50356495834237e-05
86,3.12514395766073e-05
87,1.77922380166784e-05
88,2.57571149271385e-05
89,0.000779525684590276
90,1.3665732919943e-05
91,2.72619319594547e-05
92,1.30942170711856e-05
93,2.35963598802513e-05
94,0.000218210232110105
95,0.337958570843464
96,4.06997375923535e-06
97,0.000138159587679931
98,6.96892142912908e-05
99,4.50498391536547e-05
100,2.41644303666799e-05
101,2.77662890593167e-05
102,0.000399905076416851
103,3.88105864961297e-05
104,1.31544183099574e-05
105,9.15308235349688e-06
106,5.95576294903921e-06
107,1.19823491665505e-05
108,4.15924361063524e-06
109,2.2347876149853e-05
110,6.77671716684536e-05
111,1.0374509450406e-06
112,6.20880278845437e-06
113,1.83929605799271e-05
114,1.19647454108751e-05
115,3.90049824520178e-05
116,1.06002369208991e-05
117,5.0204578615487e-06
118,2.37455372129602e-05
119,3.03440302763525e-05
120,1.41928773234046e-06
121,2.3452990028261e-05
122,1.51533414983751e-05
123,3.6065117486439e-05
124,2.29407448859575e-06
125,3.53989028348822e-05
126,6.93407143126379e-06
127,1.22907599977573e-05
128,2.90339506463511e-05
129,3.939254074381e-06
130,2.98926915417441e-05
131,3.17939885363661e-06
132,5.85679895259705e-06
133,4.55628293605237e-06
134,5.05293104103854e-05
135,7.97289108849242e-05
136,4.13371705515475e-05
137,8.91566185035053e-06
138,2.70486469500231e-06
139,3.32594060103997e-06
140,2.09454712944979e-05
141,8.36977409846007e-06
142,6.73549103391569e-06
143,0.000108861576285313
144,1.97919234364852e-05
145,1.44440451539385e-05
146,9.15332939722679e-05
147,6.86929477344833e-05
148,1.78923989856417e-05
149,3.43474837605218e-05
150,1.65537220930823e-06
151,6.74906778890261e-05
152,1.90809311260143e-05
153,4.20542171898353e-05
154,2.55329286913408e-06
155,7.2756319170586e-05
156,1.61196313662737e-05
157,1.87550476445919e-05
158,9.95717757057424e-06
159,1.24769763087951e-06
160,5.94199581316346e-06
161,4.86485651429724e-07
162,5.89607116988633e-05
163,1.13208937466691e-05
164,4.58871955555384e-06
165,2.11170540885819e-05
166,5.35693065228937e-05
167,0.000173410360784443
168,0.000662185483729094
169,0.000190380521427502
170,2.69022544496789e-06
171,4.71873962770708e-06
172,3.50014450767322e-05
173,8.88571400736726e-06
174,7.47002350931503e-06
175,5.82249192981887e-06
176,1.5514512352599e-06
177,2.56972953223134e-05
178,9.10941940336363e-05
179,5.58093225958567e-05
180,7.69252987797842e-06
181,1.88125528194361e-05
182,3.80355287999956e-05
183,0.000144245882062966
184,1.57980945361125e-05
185,9.1689856445698e-05
186,0.000177195200658953
187,0.000200768521867345
188,0.000443697152669231
189,0.00259137301881485
190,0.0186581414562683
191,0.00379234610210999
192,0.00105341348650567
193,3.50282802958901e-05
194,2.46644920588457e-05
195,0.000480225043629212
196,7.01459198321208e-05
197,1.11846129070559e-05
198,1.19154549079736e-05
199,4.64576123604399e-06
200,9.97212033915229e-06
201,2.37826550786302e-07
202,1.76331243413319e-05
203,3.81684731833865e-05
204,2.03624665495727e-06
205,0.000121707472179211
206,3.29380940788937e-06
207,1.42357424036677e-05
208,5.57789632193995e-06
209,2.7468554587573e-06
210,2.16220945711276e-05
211,7.62201667336981e-07
212,1.32964237140598e-05
213,3.30373059054256e-06
214,6.14990542906479e-05
215,2.04171739769388e-05
216,4.18166518850738e-05
217,1.70447374606697e-05
218,0.000100982291511786
219,0.000231976487629515
220,0.000309251137892042
221,0.000249644325980514
222,7.41300047044646e-05
223,8.71597711588068e-05
224,3.03340599552282e-05
225,6.28672498036442e-05
226,2.56067177938357e-05
227,0.0001207398509524
228,3.07335018432386e-05
229,2.78692567190486e-05
230,1.4494860048786e-05
231,1.35576839466189e-06
232,7.77352546621479e-06
233,1.1606565400446e-05
234,5.79964552505086e-05
235,0.000111286559542623
236,3.098824420944e-05
237,4.78552018656764e-06
238,3.64278160712717e-05
239,3.37655534964343e-05
240,3.22220592730016e-06
241,0.000103995955672564
242,2.50145957318981e-05
243,2.60903790675338e-05
244,8.53017621660346e-06
245,2.66039617746738e-06
246,4.91347099638162e-05
247,3.5818210644134e-05
248,3.06672069994018e-06
249,1.50580283619917e-06
250,1.16658003457282e-05
